session_idx,pupil_x,pupil_y,scene_target_x,scene_target_y
25,321.000,217.000,955.541,342.021
25,346.000,221.000,1216.103,346.151
25,263.000,229.000,377.271,564.791
25,289.000,230.000,651.239,564.266
25,318.500,230.000,926.086,548.467
25,344.000,235.000,1194.150,534.670
25,261.000,243.000,380.190,743.837
25,289.000,244.000,655.933,744.154
25,317.000,244.000,927.140,731.954
25,341.000,250.000,1191.881,741.656
26,278.000,208.000,526.198,251.484
26,315.000,215.000,908.117,323.314
26,337.000,219.000,1145.547,348.832
26,360.000,224.000,1411.378,331.770
26,282.000,228.000,583.908,565.780
26,311.000,231.000,881.501,568.043
26,338.000,236.000,1163.730,577.643
26,311.000,249.000,871.793,828.354
